country,operator_id,public_code,identifier_type,mac,name
NL,NS,9478,BSSID,64:31:50:EB:42:10,
NL,NS,9479,BSSID,3C:D9:2B:93:C4:E0,WiFi in de trein
NL,NS,9479,BSSID,3C:D9:2B:93:C4:F0,WiFi in de trein
NL,NS,9514,BSSID,64:31:50:F0:E9:00,
NL,NS,9518,BSSID,3C:D9:2B:93:C6:30,
NL,NS,9518,BSSID,3C:D9:2B:94:F3:D0,
NL,NS,9520,BSSID,3C:D9:2B:93:E4:B0,
NL,NS,9524,BSSID,3C:D9:2B:94:71:D0,
NL,NS,9525,BSSID,3C:D9:2B:94:13:10,
NL,NS,9544,BSSID,3C:D9:2B:93:35:40,
NL,NS,9544,BSSID,3C:D9:2B:93:35:50,
NL,NS,9547,BSSID,00:03:52:8D:8B:00,
NL,NS,9547,BSSID,3C:D9:2B:93:46:D0,
NL,NS,9552,BSSID,3C:D9:2B:94:71:70,
NL,NS,9555,BSSID,3C:D9:2B:93:86:B0,
NL,NS,9558,BSSID,00:0F:61:8F:37:40,
NL,NS,9558,BSSID,3C:D9:2B:94:12:80,
NL,NS,9560,BSSID,3C:D9:2B:95:E6:30,
NL,NS,9561,BSSID,3C:D9:2B:95:06:B0,
NL,NS,9561,BSSID,64:31:50:F1:9D:50,
NL,NS,9563,BSSID,00:0F:61:83:E3:C0,
NL,NS,9565,BSSID,3C:D9:2B:95:96:30,
NL,NS,9566,BSSID,64:31:50:E8:57:C0,
NL,NS,9569,BSSID,3C:D9:2B:95:57:00,
NL,NS,9569,BSSID,3C:D9:2B:95:57:10,
NL,NS,9569,BSSID,3C:D9:2B:95:76:E0,
NL,NS,9569,BSSID,3C:D9:2B:95:76:F0,
NL,NS,9572,BSSID,00:03:52:74:3D:C0,
NL,NS,9573,BSSID,3C:D9:2B:95:08:00,WiFi in de trein
NL,NS,9573,BSSID,3C:D9:2B:95:08:10,WiFi in de trein
NL,NS,9573,BSSID,3C:D9:2B:95:36:D0,WiFi in de trein
NL,NS,9573,BSSID,3C:D9:2B:95:67:90,WiFi in de trein
NL,NS,9575,BSSID,00:03:52:75:6D:00,WiFi in de trein
NL,NS,9575,BSSID,00:03:52:99:A2:10,WiFi in de trein
NL,NS,9575,BSSID,3C:D9:2B:95:D6:30,
NL,NS,9577,BSSID,3C:D9:2B:95:A7:B0,
NL,NS,9580,BSSID,3C:D9:2B:95:E7:A0,
NL,NS,9580,BSSID,3C:D9:2B:95:E7:B0,
NL,NS,9580,BSSID,3C:D9:2B:95:F7:00,
NL,NS,9580,BSSID,3C:D9:2B:95:F7:10,
NL,NS,9581,BSSID,3C:D9:2B:94:A1:70,
NL,NS,9582,BSSID,00:24:A8:AB:C4:50,
NL,NS,9583,BSSID,00:03:52:7E:A5:C0,
NL,NS,9583,BSSID,00:03:52:90:69:50,
NL,NS,9583,BSSID,3C:D9:2B:95:E5:A0,
NL,NS,9583,BSSID,64:31:50:EB:FA:E0,
NL,NS,9583,BSSID,64:31:50:EB:FA:F0,
NL,NS,9585,BSSID,3C:D9:2B:95:B5:E0,
NL,NS,9585,BSSID,3C:D9:2B:95:B5:F0,
NL,NS,9586,BSSID,3C:D9:2B:95:07:30,
NL,NS,9588,BSSID,3C:D9:2B:94:CF:90,
NL,NS,9589,BSSID,3C:D9:2B:95:97:D0,
NL,NS,9593,BSSID,3C:D9:2B:95:F7:B0,
NL,NS,9594,BSSID,3C:D9:2B:94:02:30,
NL,NS,9595,BSSID,3C:D9:2B:94:B3:D0,
NL,NS,9595,BSSID,3C:D9:2B:95:E7:D0,
NL,NS,9596,BSSID,3C:D9:2B:95:57:B0,
NL,RET,5315,BSSID,04:F0:21:12:85:DA,
NL,RET,5343,BSSID,04:F0:21:12:86:82,
NL,RET,5506,BSSID,04:F0:21:12:85:A6,
NL,RET,5511,BSSID,04:F0:21:12:86:3F,
NL,RET,5512,BSSID,04:F0:21:12:86:63,
NL,RET,5518,BSSID,04:F0:21:12:86:18,
NL,RET,5521,BSSID,04:F0:21:13:0E:A6,
NL,RET,5522,BSSID,04:F0:21:12:85:FD,
NL,RET,5522,BSSID,04:F0:21:12:85:FD,
NL,RET,5607,BSSID,04:F0:21:12:86:46,
NL,RET,5620,BSSID,04:F0:21:13:0F:D8,
NL,RET,5714,BSSID,04:F0:21:17:07:ED,
NL,RET,5719,BSSID,00:0E:8E:56:A6:8F,
NL,SYNTUS,1091,BSSID,00:1A:EF:56:B7:66,
